Key,Description
com.jio.media.ondemand,"JioCinema is your ultimate platform for non-stop streaming of Live Cricket, Best of Indian and International entertainment, Popular Kids Shows and Anime.

JioCinema Premium - Your new entertainment plan is here, at ₹29/month.

Enjoy exclusive web series, Hollywood movies in your language, blockbuster films, kids content, and early access to TV serials, all ad-free. T & C apply.

Subscribe and enjoy the streaming of popular titles such as Ranneeti, Asur, Apharan, Oppenheimer, FastX, The Super Mario Bros Movie, Succession, Game of Thrones, House of the Dragon, Harry Potter, and many more
JioCinema not only make the live sport a social event but also highlight how technology can bridge the gap between physical and virtual experiences.

Latest and Top rated web series:

Exclusive access to Binge-worthy content like Ranneeti: Balakot& Beyond, Asur, Taali, Kaalkoot & many more 

Watch the widest range of Bollywood movies.

Explore our diverse range of movies across genres ranging from crime, action, drama, and comedy to romance. Start with super-hit library recommendations, including Hanuman, Vikram Vedha, Bhediya, Rocketery, English Vinglish, Rockstar, Bajirao Mastani & more.

Watch the latest episodes of top TV shows.

Reality Shows: The latest seasons of reality shows like Bigg Boss (Hindi, Marathi, Kannada) & Big Boss OTT, Dance Deewane, MTV Hustle, Splitsvilla, MTV Roadies etc.

Regional Hits: Enjoy Kannada language favourites like 777 Charlie, Humble Politician Nograj, Neer dose & many more.

Children Shows: Step into the vibrant world of children's entertainment! Let your little ones dive into a treasure trove of kids content online, all while you maintain peace of mind with robust parental controls. From timeless classics to modern favorites, we've got it all such as Pokémon, Motu Patlu, Peppa Pig, Rudra and a lot more.

Anime: Dive headfirst into the electrifying world of anime! With every click, discover a universe of global releases and hundreds of hours of mesmerizing content. Get ready to embark on thrilling adventures with titles like Demon Slayer: Kimetsu no Yaiba, Spy X Family, Tokyo, and an array of other captivating shows. Don't just watch—immerse yourself in the excitement.

Watch TATA IPL Live Highlights & Other Sports

Enjoy the best of India cricket LIVE on JioCinema streaming free, any network, anytime, anywhere.

Key Features: 
1. Catch all the action of IPL 2024 on JioCinema free of cost in 4K across 12 languages introducing Haryanvi feed.
2. Custom feeds like Insiders, Fantasy, and Hangout.
3. Features like Asli 4K, multi-cam viewing, hero cam, 360-degree VR, hype stats, and interactive scorecards leverage state-of-the-art technology to make the viewing experience more immersive and dynamic.
4. Fan initiatives like Watch Parties and gamification Jeeto Dhan Dhana Dhan.
5. Premium Stickers - a new feature in 2024 - allow fans to express their emotions easily through hundreds of memes and expressions in their mother tongue during a live match.

Hero Cam: JioCinema’s latest camera angle addition this season, allows a viewer to not only follow all the live action but also the biggest hero within the game as the match unfolds. This allows viewers an up, close, personal, and uninterrupted view of how their heroes go about the game and gives a sense of feeling closer to them right in between the match.

The Insiders feed: Watch the TATA IPL along with some of the finest IPL alumni like ABD, Chris Gayle, Shane Watson, Zaheer Khan, etc. as they share never known before insider insights and stories of your favourite IPL Stars who battle-out on the ultimate T20 ground of TATA IPL 2024.

The Hangout feed: Watch TATA IPL in a new avatar this year where Cricket meets Entertainment. A humours, quirky and witty twist to Cricket coverage where Cricket Experts and Social media influencers come together.

Terms of Use (EULA): https://help.jiocinema.com/articles/terms-and-conditions/terms-and-conditions/641d382892cd636d4c10983d"
com.jio.jioplay.tv,"JioTV: Discover a 1000+ Live TV Channels on India's most loved Entertainment app, across Shows, Movies, Sports, News, Kids, Devotional, in 16+ languages.

Whether you are outside, or you are unable to watch your TV due to bad weather, or you missed your favourite show on TV, or you and someone in your family want to watch two different TV programs at the same time, JioTV will be your go to app! Simply download the JioTV app and enjoy uninterrupted entertainment anytime, anywhere. 

With over 1000 free live TV channels with 7 days catch-up options, JioTV ensures you never miss your favourite shows or latest episodes. Whether you're a fan of action, romance, comedy, or documentaries, there's something for everyone. 

JioTV also brings to you an all-new world of premium subscribed entertainment: Over 500,000 hours of premium content from 14+ partners - SonyLIV, Zee5, Lionsgate Play, Discovery+, Sun NXT, Kanchha Lannka, Planet Marathi, Chaupal, DocuBay, EPIC ON, Hoichoi. 

A 1000 top channels covering the below categories are available: 

•	Entertainment: Colors, Zee TV, Sony, SAB TV, &TV 

•	Movies: Sony MAX, Zee Cinema HD, &Pictures, Sony Pix, Colors Cineplex 

•	Sports: MI TV, Sony Six, Sony Ten 1, DD Sports, Eurosport, JioFootball, JioCricket 

•	Regional: Colors Kannada, Colors Marathi, Zee Bangla, Zee Telugu, Dangal, Zee Tamil 

•	News: Aaj Tak, ABP News, India TV, CNN News18, India Today, Republic

•	Music: MTV, ZING, 9xM, E24, B4U, Zoom 

•	Devotional: Aastha TV, Sanskar TV, Darshan 24, Saadhna 

•	Lifestyle: TravelXP, TLC WORLD, Food Food 

•	Infotainment: Discovery, History TV, Sony BBC Earth, FYI TV18, Animal Planet 

•	Kids: Cartoon Network, Pogo, Nickelodeon, Sony Yay, Discovery Kids 

•	Education: Million Lights, TV Teacher, Dnyanganga, Top Tutor 

•	JioDarshan: Char Dham, ISKCON Darshan, Dagdusheth, Omkareshwar


Key Features: 

•	Live TV with 7 Days Catch-up 

•	Set Reminder so you never miss your favourite program 

•	Access all your favorite program in one place 

•	Content available in 16+ Language 

•	Picture-in-Picture: Effortlessly multitask with the floating video mode, allowing you to browse other apps while watching your favorite show. 

•	Add to Watchlist: Organize your viewing preferences effortlessly with our Watchlist feature, ideal for planning your weekend binge.

We have something for everyone -
 
Movies & TV shows – Never miss a movie or single episode of your favorite TV shows like The Kapil Sharma Show, Tarak Mehta ka Oolta Chasma, Naagin, Bhagya Lakshmi, Kumkum Bhagya etc. 

Sports – Sports fans get live coverage of cricket, football, hockey, tennis and more. Enjoy Euro Cup, FA Cup, WWE NXT, Smackdown, UFC Fights, MOTO GP, NBA, all free on sports channels.
 
Devotional – Stay spiritually connected with devotional programs like Sadhguru Television HD, Paras Pariwar, Awakening with Brahma Kumaris etc.
 
Kids – Dive into endless fun and excitement with your favorite shows like Chhota Bheem, Motu Patlu, Fukrey Boyzzz, Kris: Roll No. 21, and more! 

Music & Reality Shows – Tune in to music with Boom Box, Solid Hits and enjoy reality shows like Splitsvilla, Roadies, and Love School! 

How to Watch on JioTV – 

Free Content for All Jio Users – Experience the freedom to watch any channel anytime, anywhere with Live TV Guide on the JioTV. From movies to daily shows, news to sports, there's something for everyone.
 
Premium Content for Subscribed Jio Users - No need for multiple subscriptions! With just one JioTV subscription, access over 500,000 hours of premium content from 14+ partners including SonyLIV, Zee5, Lionsgate Play, and more. Plus, enjoy complimentary access to all Jio apps.  

Anytime is Prime Time with JioTV!

Questions or feedback? Reach out to us at jiotv@jio.com 

Let's connect on social media: 

Facebook: https://www.facebook.com/OfficialJioTV
Twitter: https://twitter.com/OfficialJioTV
Instagram: https://www.instagram.com/officialjiotv/"
com.jio.media.jiobeats,"JioSaavn is India’s no. 1 FREE music app housing a vast and exclusive music library of 8 crore songs. You will not find these songs on any other song app for free. The best part? You can also set songs from JioSaavn as your JioTune (callertune) on your Jio number. JioSaavn also has India’s top podcasts hosted by star podcasters!

JioSaavn is one app, but it serves many purposes. Here are some things you can use JioSaavn for:

Bollywood music, Hindi Music, English music, Punjabi music, Tamil music, Telugu music, Gujarati music, Bengali Music, Marathi Music, Bhojpuri music, Kannada music, Malayalam music, Odia music - Whatever your music language, play it on JioSaavn. 

Justin Bieber songs, Sid Sriram songs, Shreya Ghoshal songs, Jubin Nautiyal songs, Diljit Dosanjh songs, Ilaiyaraaja songs, Kumar Sanu songs, Michael Jackson songs, Alka Yagnik songs - Get access to music by your current favourite stars or your all-time favourite legends. 

Pop songs, Trending songs, Classic songs, EDM songs, Romantic songs, Bollywood retro songs, Rock songs, Folk songs, Rap songs, Devotional songs, Remix songs, Indie songs - Find songs in all your favourite music genres on JioSaavn.

Sing aloud with lyrics of superhit songs like Kesariya, As It Was, Peaches, Le Le Aayi Coca Cola, Summer High, Mayakama Kalakama, Bimbilikki Pilapi, The Warriorr, Macherla Niyojakavargam, Megharajana Raaga, Singara Siriye, Thallumaala, Dagdi Chawl 2, Obosheshe, Bas Kar Pagli, The Villagers, Kabootar.

Comedy shows, film & TV shows, sports shows, thriller shows, crime shows, health & wellness shows, English podcasts, Hindi podcasts, Tamil shows - Listen to India’s most popular podcasts and audio shows across genres and languages. Top-rated shows on JioSaavn include On Purpose with Jay Shetty, Pyaar Actually, Woice with Warikoo Podcast, Get Sleepy: Sleep meditation and stories, and ZARA KHAUFF SE SUNO. 

Now Trending Hindi, Best Of Romance Hindi, Fresh Tunes, Now Playing Pop, Gedi Shedi, Lub Ju, Pudhu Tunes, Top Kuthu, Kotha Tunes, Now Trending Telugu, Hosa Tunes, Premaloka, Puthuputhan Tunes, Now Trending Malayalam, Navin Tunes, Now Trending Marathi, Bhalobashar Gallery, Nrityer Taale, Now Trending Bhojpuri, Pyar Ke Jadu, Nava Tunes, Haryanvi Dance Hits - Tune in to addictive playlists in your language.

Top Hindi JioTunes, Top English JioTunes, Punjabi Hip-Hop JioTunes, Tamil Romantic JioTunes, Top JioTunes 2022 - Set JioTunes (Jio caller tunes) from your favourite films, be it Bollywood, Tollywood, or Kollywood. Entertain your callers with a peppy song before you pick up the phone! 

Listen on Alexa, Chromecast, Google Home, Android Auto, Airplay, Sonos and more!

JioSaavn Pro is JioSaavn’s premium music subscription and ranked as India’s best music listening experience. Its features include:

Non-stop, ad-free music. 
Unlimited song downloads.
Unlimited JioTunes.
High-quality sound. 
Download Ringtones
Offline play (play music without internet or WiFi).
Exclusive music and podcasts.

Enjoy all of this with JioSaavn Pro individual, family, duo subscriptions on monthly and yearly plans as per your convenience. Jio users can also listen to music & set JioTunes from JioSaavn on the My Jio app.

Know that you have come to the right place if you are looking for any of these - jiosaavn, Jio Saavn, Jio Saavan, Jiosaavan, Jio saavan, jio tunes, Jio caller tune.

Like us on Facebook: facebook.com/jiosaavn 
Follow us on Twitter: @jiosaavn 
Email us anytime: feedback@jiosaavn.com 
Privacy & Terms: http://www.jiosaavn.com/corporate/privacy http://www.jiosaavn.com/corporate/terms
English content is currently available in: India, Pakistan, Afghanistan, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka, UAE, Saudi Arabia, Kuwait, Oman, Qatar, Bahrain, Yemen, Iraq, Lebanon and Egypt."
com.paisabazaar,"Paisabazaar is India’s leading pure-play marketplace platform for consumer credit and free credit score platform. We help consumers find the best and most-suitable offers, through wide choice, ease of comparison and seamless, digital processes.
We are an independent, transparent and unbiased platform that over the last 10 years has:
•Earned the trust and goodwill of over ~43 million consumers from 823 cities and towns across India
 •Built 60+ partnerships with Banks, NBFCs and Credit Bureaus to offer wide choice
 •Become India’s platform of choice, with over ~2 million monthly credit inquiries
•Provided ‘best offer always’ - for all consumers through our industry-first chance of approval model, maximising approval rate
•Built end-to-end digital processes, providing a superlative consumer experience
<b>What you get with the Paisabazaar App:</b>
On the Paisabazaar app, check your Free Credit Score from CIBIL and other credit bureaus every month, and choose from a wide range of personalized Loan & Credit Card offers, from India’s top Banks and NBFCs like HDFC, ICICI, Axis, Kotak Mahindra, IDFC First, RBL, Tata Capital, KreditBee, Money View etc.
 <b>Credit Score:</b>
•Free Credit report from multiple credit bureaus including CIBIL with free monthly updates
 •Access your credit report in regional languages, like, Hindi, Marathi, Gujarati, Telugu etc.
 •Credit Advisory & Credit Assist services to help improve/build your credit score
 <b>Personal Loan:</b>
 •Personalized loan offers from top Banks and NBFCs ranked according to your ‘Chance of Approval’
 •Pre-approved offers with Zero/Minimum documentation and Instant disbursals
 •Free expert assistance till loan disbursal
<b>Credit Card:</b>
•Choose from a wide range of 60+ credit cards
 •Pre-approved card offers
 •Completely digital process with minimal to zero documentation
 
<b>Home Loan:</b>
 •Low interest rate home loan offers from top lenders
 •Home Loan balance transfer option for existing home loan customers paying higher interest rate
<b>Step-Up Card:</b>
•A secured credit card backed by Fixed Deposit with high interest rate, exclusively offered by Paisabazaar in partnership with SBM Bank
•Step-Up card comes with 100% approval and is ideal for new to credit and low credit score customers who do not get a regular credit card
 Download the Paisabazaar App to become credit healthy and avail loan and card offers from India’s leading banks and financial institutions via seamless digital processes.
Contact us:
Toll Free: 1800 208 8877
Email: app@paisabazaar.com
WhatsApp: 851 009 3333
Address:  135 P, Sector 44, Gurugram (HR) 122001
*************************************
<b>Personal Loan Features & Benefits</b>
•No end-use restriction
•Minimal documentation
•Quick disbursals
•Loan amount of up to Rs. 40 lakh or more based on lenders' discretion
•Interest rates offered by top lenders usually start from 10.50% p.a.
•Loan tenure can go up to 5 years
Personal Loan Eligibility:
•Age: 18 - 60 years
•Income: Minimum salary of Rs 15,000 per month
•Credit Score: Preferably 700 & above
Customers applying for a Personal Loan should note that:
Those planning to avail personal loans should also look into APR when considering loan options. The APR (Annual Percentage Rate) of a personal loan is the loan’s annualised cost of borrowing, which includes the interest rates and other fees charged during the loan origination such as the processing fees and documentation fees. APR is expressed in percentage and allows loan applicants to identify personal loan schemes offered at lower interest rates but with higher processing fees and/or other charges.
For example, suppose you avail a personal loan of Rs 4 lakh @ 11% p.a. with a repayment tenure of 5 years and processing fee of 1.5% of loan amount. With these loan details, the processing fee for your loan will be Rs 6,000, total interest cost would be Rs 1,21,818 and the total cost of borrowing will be Rs 5,21,818 and the APR for your loan will be 11.66%."
com.macsof.svracademy,Error fetching description
naukriApp.appModules.login,"The new and updated Naukri app helps you to stay ahead in your job search and explore the latest jobs in India. You can search jobs on the go and easily connect with 5 Lakh+ recruiters hiring actively on Naukri.com. 

The best job search app not only helps you in finding the right job but also makes you shine in your career with the latest industry & job insights. Naukri.com online job search app, indeed, is one of the most loved job vacancy apps for those who want to work in India. It offers a customized job search experience across all industries, functions, locations, and  experience levels.

Every month, lakhs of job seekers use this job search app to find the latest job vacancies and move ahead in their careers. Naukri app is the best job search app that caters to all your needs without downloading any separate jobs alert app, local job search app, part-time jobs app, or work from home jobs app. 

Benefits of using Naukri Job Search App:  

•	Ease of job application tracking – View your profile performance, search appearances, and recruiter actions anytime.  
•	Enhanced visibility with recruiters- You can make the perfect first impression on recruiters and stand out with the newly added Video profile feature, exclusively on the Naukri.com app. 
•	Convenient job search – Get quicker access to the latest jobs updated every second from the largest pool of job vacancies in the country. You can shortlist and save jobs you want to apply to later. 
•	Personalized job recommendations- Get job recommendations matching your preference for industry, salary, experience, or job categories such as MNC jobs, Work from home jobs, startup jobs, freelance jobs, remote jobs, fresher jobs, International jobs, jobs for interns, telecalling jobs, walk-in jobs, and jobs for freelancers. 
•	Hiring trends & insights: Get detailed job insights such as trending skills, top-paying skills, trending online courses, company ratings, and career advice on Naukri Pulse to make a smarter career move.

Frequently Asked Questions :

How can I search for a relevant job on the Naukri app?

Naukri job app helps you get relevant jobs matching your profile. You can easily create customized job alerts and start getting the latest job alert notifications directly into your inbox.
 
How many custom job alerts can be created on the Naukri App?

You can create up to 5 job alerts for any industry such as IT, BFSI, Accounting, Finance, BPO, Automobile, E-commerce, FMCG in simple steps, fresher jobs, marketing jobs, back office jobs, Digital marketing jobs, or graphic designer jobs from top companies is the biggest advantage.

What are the top companies hiring on Naukri.com?

Think of your dream employers and they are hiring on Naukri.com. You can easily find top companies under different categories such as MNC jobs, Startup jobs, fresher jobs, IT jobs, etc.

Naukri.com app is indeed, one of the best job search apps for all your needs. Whether you are looking for part-time jobs app, work from home jobs app, or local job search app, Naukri app is the one-stop job vacancy app for you.

 Naukri.com job vacancy app helps job seekers find the latest job openings across all functional areas such as IT Jobs, Finance Jobs, SEO Jobs, Digital Marketing Jobs, Sales Jobs, Telecalling Jobs, HR Jobs, CA Jobs, and Marketing Jobs from top employers. 

No need to download separate job apps for work from app job apps, part time jobs app, or local job search app as Naukri job app is the best job search app.

Download the FREE Naukri Job App today and experience a hassle-free job search with Naukri.com, the best job search site in India.

Reach out to us at android@naukri.com for any feedback."
com.truecaller,"Stay protected from robocallers and scammers with Truecaller. Our powerful Caller ID identifies who is calling and why, so you can decide whether to pick up or not. Use the powerful dialer to call friends, family, or look up a phone number. Truecaller identifies and warns you about fraudsters, telemarketers, and other unwanted or unknown numbers. The Advanced Spam Detector automatically blocks and protects you from unwanted calls and SMS.

AI Call Scanner:
Increase your security with AI Call Scanner, integrated into the dialer.
This model detects and differentiates between human and AI-synthesized voices, protecting you from potential scams and fraudulent activities.
Activate AI Call Scanner with a dedicated button within the Truecaller dialer. The call is merged with our secure phone line, recording a voice sample. Our AI model then analyzes the sample to let you know if you’re speaking to a real person or a bot.
Enjoy peace of mind and added security with AI Call Scanner, allowing you to confidently verify caller authenticity and protect yourself from phone scams and fraudulent activities.

Truecaller Assistant: The Smartest Call Screening and Voice-Based Virtual Assistant:
Save time and improve spam detection with the AI-powered Assistant that answers your calls.
The Assistant uses machine learning and speech-to-text technology to ask questions to the caller, helping you identify who they are and why they called.
The Assistant can determine with over 90% accuracy if the call is spam, a scam or a robocaller, helping you decide whether to answer or reject the call.
You can also use your voice to let callers hear your  familiar voice, adding a personal touch to the screening process.

World-Class Spam Call Blocker & Detector:
Block spam & scam calls and SMS. The Caller ID identifies numbers, and the spam call blocker auto-blocks telemarketers, robocallers, scammers, fraud, sales, and more.
The phone numbers on the spam list are updated by millions of users in real-time, helping you block spam calls, robocalls, and fraud.
Advanced call blocker for blocking spam calls from countries, similar phone number sequences, robocallers, unknown numbers, telemarketers, and more.

Call Recorder:
Record incoming and outgoing calls within your app to boost productivity.
AI-Generated Call Subjects generates relevant subjects for your calls, simplifying organization.
Call Summary automatically summarizes conversations, enabling you to quickly grasp essential points.
Receive a written transcript for easy reading, listening, and referencing.

Powerful Caller ID & dialer with reverse number lookup:
The leading Caller ID shows who is calling, even if the number is not in your contacts.
The Caller ID tells you if an unknown caller is a business or spam number.
Use Truecaller Voice (VOIP) calling to talk to your friends on Truecaller for free.
Video Caller ID: Delight your friends and family with a short selfie video.
Reverse Number Lookup: Look up numbers to find the person's name.
Backup and restore call history, call logs, contacts, messages, block list, and settings to Google Drive.

Messaging:
Use Truecaller as your main texting app to send & receive, schedule future messages, and more.
Automatically identify & block unknown, spam, scam, or telemarketing SMS.
Automatically organized tabs for your text messages: Personal, Important, Other, and Spam.

Truecaller Premium - Upgrade and get access to:
No ads
Truecaller Assistant
Call recording
AI Call Scanner
Know who viewed your profile
Advanced blocking and filtering options - the ultimate spam blocker
Announce Calls: Know who’s calling without looking at the phone
Incognito mode: View profiles privately
Get the Premium badge on your profile
30 contact requests a month

Truecaller doesn't upload your phonebook to make it public or searchable. Trusted by 383 million users globally, we exist to make your communication safer.
Got feedback? Write to support@truecaller.com or visit Truecaller Support."
com.league11,"League11 is one of the best fantasy gaming apps, League11 provides amazing chances to win prizes by showcasing your fantasy team-making talent across a range of sports like Cricket, football, Kabaddi, basketball, and many more. The only sports fantasy app in the market that takes a guaranteed 3% platform fee and provides super-fast withdrawals.

Fantasy Cricket: Play fantasy cricket matches of various cricket tournaments & Leagues such as IPL, Asia Cup, Big Bash League, World cup & many more. For every small game ranging from 10 overs to 50 overs, you can enjoy fantasy cricket on it.

Fantasy Basketball: Create and play Fantasy Basketball for tournaments such as AfroBasket, WNBA, NBA, FIBA world cups, etc.

Fantasy Football: Enjoy playing Fantasy Football and create your league11 in various football leagues like ISL, Champions League, Premier League, La Liga, Serie A, Ligue 1, Bundesliga, and many other popular leagues. 

With upcoming sports tournaments like the Men's ODI World Cup 2023, Asia Cup, and many others, let’s get you started on how to play on League11.

How to Play on League11?

Choose the sport you want to play: Cricket, Football, Basketball, and Kabaddi! Select a match of different tours like the Men's ODI World Cup 2023, ISL, etc.
Create your fantasy cricket team by choosing real players from the match.
Assign a Captain and a Vice-Captain carefully as they will earn you maximum points. Join the contests you wish to join. You earn points as per your team’s real-life performance.
Score maximum points on the leaderboard to win big prizes.

Why Choose League11?

1. Leading fantasy app
2. Only 3% platform fee LOWEST in the market.
3. 24x7customer service.
4. Super-fast withdrawals within 60 mins (without charge).
5. Daily MEGA contests & giveaways with amazing prize pools.
 6. All major leagues & tournaments.

What's More?

Multiple Contests: Join different contests like Mega contests,
Head to Head contests; Winner takes all, Hero Contest, and Daily free giveaways, or create a private contest of your own, only on League11.

Easy withdrawals & deposits: Enjoy quick withdrawals and deposits with a
100% legal, safe, and secure process.

Blogs: Read exciting blogs regarding the sporting
world at https://league11.in/blog/ here.

Help & Support: Have an issue? We will resolve it for you!
League11’s 24x7 ‘Chat With Us’ option provides solution-based FAQs and prompt customer care assistance.

Responsible play: We here at League11 believe in responsible
play and abiding by the rules of our responsible play policy. Click Here https://league11.page.link/responsibleplay

What is Responsible Play?
Here’s what our Responsible Play policy covers:
Transaction limit: A maximum cap of ₹2,00,000 that you can
add to your League11 account in a single transaction

Alerts: Timely alerts sent to users to inform them about the
accumulated losses in a financial year

Timeout: Take a break from playing Cash Contests for up to 15 days.

Age and Location Limits: You can only join Cash Contests if you’re 18
years & above. Residents from Assam, Andhra Pradesh, Odisha, Telangana,
Nagaland, and Sikkim are not permitted to join the Cash Contests on League11 due to their respective state laws.We deeply care about our user's safety. Therefore, we strive every day to make our user's experience safe with utmost transparency and trust. League11’s Fair Play policy is our stringent endeavour toward safeguarding our users. Please play responsibly. For further assistance, please get in touch with us at https://league11.freshdesk.com/support/solutions/. For more information about Fair play, Please visit https://league11.in/article/fair-play-policy/
Download the League11 fantasy app and start your fantasy sports journey to win amazing prizes!!
As one of the best real-money
gaming fantasy apps. We recommend playing fantasy sports responsibly. For
gaming addiction help and support,
please contact: https://league11.page.link/responsibleplay/ or support@league11.in"
com.whereismytrain.android,"""Where is my Train"" is a unique train app that displays live train status and up-to-date schedules. The app can function offline without needing Internet or GPS.  It is also packed with useful features such as destination alarms and a speedometer. Thank you to all the users who make the app better every day by sharing their feedback with us.
  
<b>Spotting Train Accurately</b> 
 
Get live train status of Indian Railways anytime, anywhere. When you are traveling on a train, this feature can work without internet or GPS as it uses cell tower information to find the location. You can share current train location with your friends & family via the share feature. You can also set an alarm to wake you up at a fixed time before your railway station arrives. 
 
<b>Offline Train Schedules</b>
 
The train app has the Indian Railways timetable offline. You don't have to know train number or names as our Smart search feature allows you to use train source & destination or partial train names even with spelling errors.

<b>Metro and Local Trains</b>
Now see the latest correct schedules and real time location of Local Trains and Metros in your city.  

<b>Coach Layout and Platform numbers</b>
 	
Get information on coach position and seat/berth layout before you board the train. Also shows platform numbers for boarding and intermediate stations wherever available.
 
<b>Super efficient in Battery, Data Usage and App size</b>
 
The app is very efficient in battery and data use as key features like finding train locations and schedules can work offline without Internet or GPS. The app-size is relatively small despite having a lot of information offline.
 
 
<b>Seat Availability and PNR Status </b>
 
Check seat availability and PNR status on the official Indian Railways website within the app. 
  
Disclaimer: The app is privately maintained and does not have any affiliation whatsoever to Indian Railways."
in.redbus.android,"<h1>India's Most Preferred Train & Bus Ticketing App - 3.6 Cr Users Trust Us, 2 Lakhs+ Bookings Per Day</h1>
<h2>💰Upto ₹500 OFF on Your First Bus Booking, Use Code RED500</h2>
<h2>💰₹60 OFF on Your First Train Ticket Booking, Use Code SUPERB60</h2> 
<h2>💰20% Off on Chennai Metro Booking</h2>
Official Bus Booking Partner App for APSRTC, TSRTC, RSRTC, KSRTC (kerala), UPSRTC, HRTC, OSRTC & 3500+ Private Bus Services i.e. Chalo Bus, Zingbus, VRL Travels, NueGo, Chartered Bus, Orange Travels, SVKDT Travels, Laxmi Holidays, Jabbar Travels, IntrCity SmartBus, Sangitam, SRS, Kallada Travels, Sugama Tourist & more. Also, IRCTC Authorized Partner App For Train Booking.

🤝 220 Million+ Trips Booked Globally
⭐ 4.5 Rating (Top-rated)
🚌 Change Date or Reschedule Bus for Free
💰 Lightening Fast Refund
⭐ 24/7 Customer Support
🚆Seat Guarantee - Get Confirmed Tickets Even on Waitlisted Trains or a 3x Refund
🙌 India's Go-to App For Booking Government RTC & Private Buses


RTC Buses on redBus

Largest State RTC bus listing that can be booked on redbus app!
✔️ APSRTC Bus - Andhra Pradesh State Road Transport Corporation
✔️ TSRTC Bus - Telangana State Road Transport Corporation
✔️ RSRTC Bus - Rajasthan State Road Transport Corporation
✔️ UPSRTC Bus - Uttar Pradesh State Road Transport Corporation
✔️ HRTC Bus - Himachal Road Transport Corporation
✔️ KSRTC Bus - Kerala State Road Transport Corporation
✔️ OSRTC Bus - Odisha State Road Transport Corporation..& more

redBus is an official partner for booking seater, semi-sleeper, sleeper, and Volvo AC bus tickets with TSRTC, APSRTC, GSRTC, HRTC, Kerala RTC, UPSRTC, RSRTC, and popular bus operators like Chalo Bus, Zingbus, VRL Travels, NueGo,  Chartered Bus, Orange Travels, SVKDT Travels, Laxmi Holidays, Jabbar Travels, IntrCity SmartBus, SRS Travels, etc. at a low price. 


Benefits of Booking Bus Tickets on redBus

⭐ Primo Certified Buses: Specially curated by redBus, Primo offers you high-rated buses with best-in-class experience & assurance of the best service i.e. 4+ Rated Buses, Friendly Staff, & On-time!
💺Offers Sleeper, Seater, Semi-Sleeper, AC, Non-AC, Luxury, & Volvo Intercity Buses
💳 Multiple Payment Options: Card, UPI, & more
👉FlexiTicket: Reschedule Bus for FREE up to 8 hrs before departure. Get min 50% refund if you cancel at least 12 hrs before departure.


Steps to Book Bus Tickets on redBus App:

✅ Enter source, destination, and travel date
✅ Choose from available bus services i.e. APSRTC, TSRTC, KSRTC, Chalo Bus, NueGo, Zingbus, etc
✅ Use any of the filters like bus types (Volvo AC Bus / Sleeper / Semi-sleeper), prices, ratings, etc., to find the best bus
✅ Select a seat and proceed to pay
✅ Complete payment, & voila! You have successfully booked your bus ticket 
✅ Get booking confirmation via email/text

Create an account to save your info and trip details so you won't have to enter your info again the next time you want to book a bus ticket online.


redRail by redBus

Your go-to railway app for booking train tickets, an IRCTC Authorized Partner app that enables:
• Tatkal reservations for IRCTC trains
• PNR Status
• Real-time live NTES train running status
• Train ticket prediction, coach position & platform details

redRail Benefits:
• Free Cancellation
• No Convenience Fee
• Instant Refunds on UPI Pay


Popular Bus Routes

• Bangalore to Chennai
• Hyderabad to Bangalore
• Chennai to Coimbatore
• Madurai to Chennai
• Coimbatore to Bangalore
• Hyderabad to Vijayawada
• Chennai to Salem
• Indore to Bhopal
• Delhi to Manali
• Delhi to Shimla
• Pune to Nagpur
• Delhi to Lucknow

Popular Bus Services

• Chalo Bus
• Zingbus
• VRL Travels
• NueGo
• Chartered Bus
• Orange Travels
• SVKDT Travels
• Laxmi Holidays
• Jabbar Travels
• IntrCity SmartBus
• Sangitam Travels
• SRS Travels
• Kallada
• Sugama Tourist
• Sutra Seva

Common misspells: red bus, rebus, redbud

We are always excited to hear from you. For any queries or concerns, please call us Ph: +919945600000 ☎"
